date,co,no,no2,o3,so2,pm2_5,pm10,nh3
2/18/2021,8544.9 µmole,169.9 µmole,67.9 µmole,0.0 µmole,89.7 µmole,841.7 µmole,980.2 µmole,44.6 µmole
2/18/2021,11322.0 µmole,275.4 µmole,80.9 µmole,0.2 µmole,100.1 µmole,1007.4 µmole,1149.3 µmole,46.6 µmole
2/18/2021,8224.5 µmole,168.1 µmole,116.5 µmole,2.6 µmole,107.8 µmole,798.0 µmole,891.4 µmole,30.4 µmole
2/18/2021,8117.7 µmole,125.2 µmole,152.2 µmole,14.1 µmole,115.4 µmole,812.9 µmole,913.6 µmole,36.0 µmole
2/18/2021,8010.9 µmole,55.0 µmole,208.4 µmole,79.4 µmole,127.8 µmole,867.5 µmole,970.9 µmole,41.0 µmole
2/18/2021,2536.8 µmole,16.3 µmole,105.6 µmole,147.3 µmole,211.7 µmole,424.7 µmole,466.0 µmole,5.6 µmole
2/18/2021,1895.9 µmole,8.4 µmole,74.0 µmole,203.1 µmole,158.3 µmole,355.4 µmole,391.0 µmole,3.8 µmole
2/18/2021,1709.0 µmole,4.6 µmole,57.6 µmole,254.6 µmole,131.6 µmole,345.1 µmole,380.7 µmole,4.5 µmole
2/18/2021,1869.2 µmole,3.4 µmole,57.6 µmole,263.2 µmole,111.6 µmole,350.0 µmole,390.9 µmole,9.8 µmole
2/18/2021,2296.5 µmole,3.3 µmole,74.7 µmole,223.2 µmole,105.9 µmole,366.6 µmole,415.6 µmole,17.0 µmole
2/18/2021,2616.9 µmole,2.0 µmole,98.7 µmole,157.4 µmole,109.7 µmole,371.6 µmole,424.5 µmole,20.8 µmole
2/18/2021,4646.3 µmole,17.0 µmole,171.4 µmole,22.9 µmole,114.4 µmole,468.1 µmole,555.5 µmole,41.0 µmole
2/18/2021,7263.2 µmole,89.4 µmole,156.3 µmole,0.0 µmole,116.4 µmole,635.2 µmole,778.2 µmole,65.9 µmole
2/18/2021,8438.1 µmole,127.0 µmole,131.6 µmole,0.0 µmole,115.4 µmole,745.8 µmole,924.0 µmole,66.9 µmole
2/18/2021,8758.6 µmole,132.3 µmole,122.0 µmole,0.0 µmole,114.4 µmole,807.7 µmole,998.7 µmole,49.1 µmole
2/18/2021,8544.9 µmole,125.2 µmole,117.9 µmole,0.0 µmole,103.0 µmole,829.5 µmole,1020.3 µmole,35.5 µmole
2/18/2021,7370.0 µmole,98.4 µmole,111.0 µmole,0.0 µmole,74.4 µmole,762.3 µmole,932.5 µmole,20.0 µmole
2/18/2021,5607.6 µmole,57.2 µmole,104.2 µmole,0.0 µmole,44.8 µmole,633.1 µmole,760.3 µmole,9.3 µmole
2/18/2021,4272.5 µmole,25.0 µmole,93.2 µmole,0.1 µmole,34.3 µmole,543.3 µmole,637.8 µmole,8.0 µmole
2/18/2021,3418.0 µmole,8.2 µmole,77.5 µmole,1.3 µmole,30.5 µmole,476.3 µmole,548.4 µmole,7.9 µmole
2/18/2021,3097.5 µmole,7.3 µmole,60.3 µmole,1.1 µmole,28.9 µmole,444.6 µmole,510.2 µmole,8.5 µmole
2/18/2021,3311.2 µmole,19.2 µmole,47.3 µmole,0.0 µmole,31.5 µmole,457.6 µmole,527.9 µmole,10.8 µmole
2/19/2021,3791.8 µmole,38.0 µmole,40.4 µmole,0.0 µmole,40.5 µmole,492.4 µmole,570.1 µmole,15.7 µmole
2/19/2021,4966.7 µmole,78.7 µmole,37.7 µmole,0.0 µmole,60.1 µmole,576.9 µmole,674.2 µmole,28.1 µmole
2/19/2021,7797.2 µmole,173.5 µmole,40.8 µmole,0.0 µmole,83.9 µmole,758.0 µmole,900.0 µmole,43.6 µmole
2/19/2021,10681.2 µmole,289.7 µmole,50.7 µmole,0.2 µmole,93.5 µmole,917.2 µmole,1094.7 µmole,45.1 µmole
2/19/2021,7797.2 µmole,191.3 µmole,79.5 µmole,2.4 µmole,94.4 µmole,697.5 µmole,814.3 µmole,32.9 µmole
2/19/2021,7583.6 µmole,146.6 µmole,117.9 µmole,11.2 µmole,102.0 µmole,681.4 µmole,794.5 µmole,38.5 µmole
2/19/2021,7263.2 µmole,70.6 µmole,181.0 µmole,60.1 µmole,109.7 µmole,704.5 µmole,815.8 µmole,41.5 µmole
2/19/2021,2376.6 µmole,12.1 µmole,87.1 µmole,174.5 µmole,145.0 µmole,342.7 µmole,380.8 µmole,13.7 µmole
2/19/2021,1588.8 µmole,5.0 µmole,49.4 µmole,228.9 µmole,106.8 µmole,280.0 µmole,307.3 µmole,8.7 µmole
2/19/2021,1268.4 µmole,2.7 µmole,32.2 µmole,248.9 µmole,79.2 µmole,237.6 µmole,259.3 µmole,9.0 µmole
2/19/2021,1228.3 µmole,2.6 µmole,33.9 µmole,226.0 µmole,65.8 µmole,204.6 µmole,225.4 µmole,12.4 µmole
2/19/2021,1468.7 µmole,3.4 µmole,52.8 µmole,183.1 µmole,69.6 µmole,201.4 µmole,226.9 µmole,17.5 µmole
2/19/2021,1695.6 µmole,2.4 µmole,74.0 µmole,134.5 µmole,70.6 µmole,190.8 µmole,220.7 µmole,20.8 µmole
2/19/2021,3524.8 µmole,14.3 µmole,148.1 µmole,22.4 µmole,80.1 µmole,267.2 µmole,329.9 µmole,38.5 µmole
2/19/2021,5928.0 µmole,76.9 µmole,139.8 µmole,0.0 µmole,87.7 µmole,408.4 µmole,522.2 µmole,60.3 µmole
2/19/2021,7156.4 µmole,106.4 µmole,116.5 µmole,0.0 µmole,83.0 µmole,512.5 µmole,659.9 µmole,59.3 µmole
2/19/2021,7690.4 µmole,116.2 µmole,101.5 µmole,0.0 µmole,77.3 µmole,585.1 µmole,747.4 µmole,42.6 µmole
